,model_type,host,date,dataset,	noise,angle,nominal_sig_frac,sig_frac,max_epochs,epochs,train_n_events,valid_n_events,train_time,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif,cm_train,cm_valid,cm_weighted,opt_reg_thresh,layers
0,relegator,charmander,2020.07.12_21:51:18,20ojp13e,0.25,1.7,0.01,0.01,2000,573,15000,5000,85.0392,0.6975,0.6976,0.6975,0.6816,0.8364,0.6923,100000,15867,997,139,471,7.6770000000000005,19.07,5517:60:1948:689:3735:3051:0:0:0,1820:24:631:225:1241:1059:0:0:1,72052:1014:25934:100:480:420:0:0:0,,
1,regressor,charmander,2020.07.12_21:52:35,20ojp13e,0.25,1.7,0.01,0.01,2000,491,15000,5000,65.0416,0.7615,0.7614,0.7615,0.3418,0.3754,0.3469,100000,15867,997,86,434,7.6770000000000005,19.032,7500:33:4096:3371,2457:10:1423:1110,98395:605:564:436,0.8600285774469375,
2,relegator,charmander,2020.07.12_21:54:24,20ojp13e,0.25,1.7,0.01,0.01,2000,578,15000,5000,93.3135,0.6764,0.6764,0.6763,0.6652,0.8131,0.7043,100000,15867,997,121,456,7.6770000000000005,18.984,5229:49:2226:548:3625:3323:0:0:0,1699:20:777:187:1233:1084:0:0:1,68220:873:29907:79:468:453:0:0:0,,
3,regressor,charmander,2020.07.12_21:55:49,20ojp13e,0.25,1.7,0.01,0.01,2000,490,15000,5000,72.0767,0.7599,0.7598,0.7599,0.3429,0.3691,0.3454,100000,15867,997,178,496,7.6770000000000005,19.105,7472:75:3606:3847,2429:24:1244:1303,97849:1151:502:498,0.8201317703723908,
4,relegator,charmander,2020.07.12_21:58:21,w6e9mfrt,0.25,1.7,0.01,0.01,2000,623,15000,5000,108.2343,0.7082,0.7083,0.7082,0.6893,0.8299,0.6666,100000,15797,998,82,444,7.7010000000000005,19.359,5233:36:2237:579:3172:3743:0:0:0,1767:10:717:182:1081:1243:0:0:1,68905:550:29545:69:453:478:0:0:0,,
5,regressor,charmander,2020.07.12_21:59:38,w6e9mfrt,0.25,1.7,0.01,0.01,2000,449,15000,5000,63.605,0.7632,0.7632,0.7633,0.3424,0.3696,0.3498,100000,15797,998,130,496,7.7010000000000005,19.824,7476:50:4008:3466,2460:14:1365:1161,98257:743:504:496,0.8500150606036186,
6,relegator,charmander,2020.07.12_22:01:32,w6e9mfrt,0.25,1.7,0.01,0.01,2000,609,15000,5000,96.5785,0.6749,0.675,0.6749,0.6746,0.8217,0.6718,100000,15797,998,101,469,7.7010000000000005,19.644000000000002,5172:41:2283:490:3339:3675:0:0:0,1762:14:728:160:1139:1197:0:0:1,67922:646:30432:57:476:467:0:0:0,,
7,regressor,charmander,2020.07.12_22:02:58,w6e9mfrt,0.25,1.7,0.01,0.01,2000,487,15000,5000,73.3011,0.771,0.7709,0.771,0.3425,0.3741,0.3437,100000,15797,998,366,609,7.7010000000000005,19.504,7364:138:3194:4304,2449:49:1047:1455,96823:2177:391:609,0.7799554646015168,
8,relegator,charmander,2020.07.12_22:05:40,oup5lzd3,0.25,1.7,0.01,0.01,2000,607,15000,5000,112.4928,0.7156,0.7157,0.7155,0.6961,0.8394,0.6604,100000,16388,994,77,374,7.539,17.611,5381:34:2054:669:2918:3944:0:0:0,1864:4:663:214:964:1291:0:0:1,71055:453:27492:70:386:544:0:0:0,,
9,regressor,charmander,2020.07.12_22:07:03,oup5lzd3,0.25,1.7,0.01,0.01,2000,481,15000,5000,70.1569,0.7565,0.7565,0.7566,0.3368,0.3599,0.3479,100000,16388,994,348,585,7.539,19.152,7380:152:3234:4234,2424:44:1096:1436,96951:2049:413:587,0.7701476851105692,
