model_type,	noise,angle,sig_frac,n_epochs,train_time,epochs,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13299,982,80,553,8.217,21.980
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13264,990,61,576,8.292,22.822
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13320,989,46,580,8.268,23.181
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13243,987,72,581,8.274,22.736
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13439,989,72,555,8.234,22.165
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13309,985,67,576,8.239,22.715
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13258,989,68,567,8.286,22.501
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13243,994,52,585,8.331,23.179
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13139,985,62,565,8.288,22.564
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13298,996,54,565,8.331,22.709
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13031,991,59,594,8.369,23.245
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13404,983,68,565,8.195,22.457
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13151,989,51,561,8.317,22.677
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13503,982,59,574,8.159,22.814
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13305,988,70,563,8.264,22.377
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13146,987,61,585,8.302,23.017
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13214,991,62,572,8.315,22.717
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13335,986,67,562,8.239,22.408
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13292,991,59,580,8.292,22.944
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13496,991,68,579,8.233,22.763
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13245,981,68,566,8.225,22.479
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13301,988,61,577,8.265,22.844
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13163,982,58,595,8.257,23.284
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13447,984,65,580,8.191,22.837
relegator,	0.2,1.4,0.01,1000,111.2600,375,0.7487,0.7487,0.7487,0.6419,0.8260,0.6340,100000,13379,985,71,553,8.219,22.138
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13357,198,33,100,1.701,8.671
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13235,198,23,107,1.708,9.385
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13338,196,19,103,1.685,9.325
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13411,198,23,91,1.697,8.523
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13480,197,22,89,1.684,8.448
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13363,199,31,86,1.709,7.951
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13295,195,32,98,1.679,8.595
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13291,195,25,96,1.679,8.727
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13474,196,25,96,1.676,8.727
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13501,198,22,97,1.692,8.892
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13318,198,31,105,1.703,9.004
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13395,196,30,107,1.681,9.142
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13346,196,23,98,1.684,8.909
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13357,196,30,98,1.684,8.662
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13548,197,16,96,1.680,9.071
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13647,200,26,98,1.700,8.801
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13253,198,20,101,1.707,9.182
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13454,200,25,96,1.712,8.727
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13239,197,26,110,1.700,9.432
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13360,198,18,86,1.700,8.433
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13367,200,21,95,1.717,8.821
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13342,198,21,88,1.702,8.429
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13279,196,15,98,1.688,9.219
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13423,196,20,103,1.680,9.287
relegator,	0.2,1.4,0.002,1000,69.5014,318,0.5384,0.5382,0.5384,1.3817,2.5013,1.5279,100000,13470,195,32,95,1.668,8.430
