model_type,	noise,angle,sig_frac,n_epochs,train_time,epochs,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif
regress,	0.2,1.4,0.001,1000,32.5139,545,0.8080,0.8080,0.8081,0.2724,0.3078,0.2760,100000,13514,99,16,36,0.849,4.992
regress,	0.2,1.4,0.001,1000,31.2713,525,0.8008,0.8007,0.8008,0.2705,0.3054,0.2748,100000,13365,99,83,62,0.853,5.149
regress,	0.2,1.4,0.001,1000,27.4049,458,0.8044,0.8044,0.8045,0.2712,0.3088,0.2879,100000,13306,100,73,56,0.864,4.931
regress,	0.2,1.4,0.001,1000,30.8530,518,0.8028,0.8028,0.8029,0.2794,0.3124,0.2732,100000,13396,99,15,32,0.852,4.668
regress,	0.2,1.4,0.001,1000,32.6010,546,0.8072,0.8072,0.8073,0.2813,0.3154,0.2688,100000,13340,98,57,51,0.845,4.907
regress,	0.2,1.4,0.001,1000,30.9859,521,0.7953,0.7953,0.7954,0.2731,0.3118,0.2650,100000,13485,99,20,32,0.849,4.438
regress,	0.2,1.4,0.001,1000,29.5725,491,0.7851,0.7850,0.7851,0.2760,0.3082,0.2761,100000,13251,98,38,49,0.848,5.253
regress,	0.2,1.4,0.001,1000,25.4328,428,0.8009,0.8008,0.8009,0.2739,0.3113,0.2750,100000,13442,97,62,59,0.834,5.364
regress,	0.2,1.4,0.001,1000,26.5181,446,0.7830,0.7829,0.7830,0.2791,0.3132,0.2755,100000,13354,99,175,61,0.854,3.971
regress,	0.2,1.4,0.001,1000,27.4130,460,0.8049,0.8048,0.8049,0.2744,0.3111,0.2759,100000,13442,100,45,56,0.859,5.572
regress,	0.2,1.4,0.001,1000,29.3087,492,0.7913,0.7913,0.7914,0.2721,0.3075,0.2689,100000,13560,99,88,57,0.847,4.734
regress,	0.2,1.4,0.001,1000,27.1374,453,0.7962,0.7961,0.7962,0.2766,0.3118,0.2803,100000,13411,100,24,53,0.860,6.040
regress,	0.2,1.4,0.001,1000,27.1534,455,0.7962,0.7961,0.7962,0.2719,0.3099,0.2765,100000,13424,100,60,56,0.860,5.199
regress,	0.2,1.4,0.001,1000,26.3104,440,0.8044,0.8044,0.8045,0.2787,0.3138,0.2664,100000,13410,100,251,73,0.860,4.056
regress,	0.2,1.4,0.001,1000,30.4017,511,0.7908,0.7907,0.7908,0.2757,0.3087,0.2840,100000,13305,98,85,56,0.846,4.716
regress,	0.2,1.4,0.001,1000,31.1620,521,0.8092,0.8092,0.8092,0.2707,0.3074,0.2824,100000,13601,99,23,51,0.846,5.929
regress,	0.2,1.4,0.001,1000,32.9449,555,0.7961,0.7960,0.7961,0.2750,0.3116,0.2673,100000,13524,99,46,56,0.848,5.545
regress,	0.2,1.4,0.001,1000,28.3382,475,0.7969,0.7969,0.7970,0.2748,0.3101,0.2792,100000,13459,96,40,44,0.825,4.801
binary_softmax,	0.2,1.4,0.001,1000,30.5203,508,0.8143,0.8143,0.8143,0.2762,0.3128,0.2692,100000,13365,98,1650,88,0.845,2.111
binary_softmax,	0.2,1.4,0.001,1000,26.3116,439,0.8005,0.8004,0.8005,0.2754,0.3090,0.2737,100000,13478,99,1759,85,0.850,1.979
binary_softmax,	0.2,1.4,0.001,1000,26.1645,436,0.8027,0.8027,0.8027,0.2755,0.3115,0.2827,100000,13291,100,1774,86,0.864,1.994
binary_softmax,	0.2,1.4,0.001,1000,31.0249,512,0.8118,0.8117,0.8118,0.2674,0.3077,0.2753,100000,13419,99,1878,88,0.851,1.985
binary_softmax,	0.2,1.4,0.001,1000,25.0584,412,0.7905,0.7904,0.7905,0.2727,0.3116,0.2751,100000,13421,100,1597,85,0.860,2.073
binary_softmax,	0.2,1.4,0.001,1000,28.2093,467,0.8121,0.8120,0.8121,0.2755,0.3115,0.2811,100000,13411,99,1887,88,0.852,1.980
binary_softmax,	0.2,1.4,0.001,1000,27.0177,447,0.8022,0.8021,0.8022,0.2786,0.3138,0.2780,100000,13351,96,1933,82,0.828,1.827
binary_softmax,	0.2,1.4,0.001,1000,29.3428,480,0.8090,0.8089,0.8090,0.2708,0.3047,0.2746,100000,13489,100,1613,83,0.858,2.015
binary_softmax,	0.2,1.4,0.001,1000,28.8297,477,0.8058,0.8058,0.8059,0.2766,0.3058,0.2717,100000,13431,100,1689,91,0.860,2.157
binary_softmax,	0.2,1.4,0.001,1000,27.8850,465,0.7980,0.7979,0.7980,0.2721,0.3083,0.2669,100000,13457,99,1832,87,0.850,1.986
binary_softmax,	0.2,1.4,0.001,1000,29.8680,498,0.8202,0.8201,0.8202,0.2742,0.3087,0.2708,100000,13358,99,1556,87,0.853,2.146
binary_softmax,	0.2,1.4,0.001,1000,27.0620,451,0.7963,0.7963,0.7964,0.2718,0.3027,0.2709,100000,13500,98,1762,87,0.840,2.023
binary_softmax,	0.2,1.4,0.001,1000,32.5087,541,0.8016,0.8015,0.8016,0.2703,0.3037,0.2727,100000,13230,98,1696,82,0.849,1.945
binary_softmax,	0.2,1.4,0.001,1000,27.4490,446,0.8051,0.8051,0.8052,0.2734,0.3079,0.2847,100000,13492,99,1912,89,0.849,1.990
relegator,	0.2,1.4,0.001,1000,17.1365,237,0.4723,0.4724,0.4723,9.6000,10.1991,10.5496,100000,13265,97,3781,82,0.839,1.319
relegator,	0.2,1.4,0.001,1000,38.7989,538,0.3568,0.3570,0.3568,1.6821,1.6719,1.6465,100000,13429,100,0,19,0.860,4.359
relegator,	0.2,1.4,0.001,1000,34.8364,486,0.6876,0.6878,0.6875,1.7682,1.7370,1.9812,100000,13748,100,0,15,0.850,3.873
relegator,	0.2,1.4,0.001,1000,35.3205,492,0.6164,0.6166,0.6164,1.7395,1.6882,1.6811,100000,13466,97,0,18,0.833,4.243
relegator,	0.2,1.4,0.001,1000,30.2756,422,0.5923,0.5923,0.5923,1.6754,1.6574,1.8377,100000,13427,99,0,12,0.851,3.464
relegator,	0.2,1.4,0.001,1000,34.0946,477,0.3905,0.3908,0.3904,1.8505,1.7666,1.8548,100000,13291,96,0,18,0.830,4.243
relegator,	0.2,1.4,0.001,1000,32.0727,448,0.3857,0.3860,0.3856,2.1456,2.1372,2.0649,100000,13425,98,1,9,0.843,2.846
relegator,	0.2,1.4,0.001,1000,18.7949,260,0.6656,0.6654,0.6657,8.8796,9.4830,9.4653,100000,13448,99,3398,87,0.851,1.474
relegator,	0.2,1.4,0.001,1000,19.0969,265,0.5932,0.5930,0.5932,9.4407,9.9202,9.4710,100000,13408,100,3526,84,0.860,1.398
relegator,	0.2,1.4,0.001,1000,34.8557,487,0.3369,0.3371,0.3368,1.8106,1.8039,2.1082,100000,13354,96,0,16,0.828,4.000
relegator,	0.2,1.4,0.001,1000,11.3980,157,0.5091,0.5087,0.5092,13.1486,13.3816,13.7289,100000,13312,98,8363,94,0.846,1.022
relegator,	0.2,1.4,0.001,1000,29.7530,410,0.7102,0.7101,0.7102,3.1638,5.2677,3.2636,100000,13430,100,30,47,0.860,5.356
relegator,	0.2,1.4,0.001,1000,33.9104,471,0.7236,0.7236,0.7236,2.8225,5.3236,3.1895,100000,13140,98,31,47,0.852,5.322
relegator,	0.2,1.4,0.001,1000,33.0278,454,0.3747,0.3750,0.3746,1.9270,1.8935,1.9470,100000,13621,98,0,10,0.837,3.162
relegator,	0.2,1.4,0.001,1000,28.3007,394,0.6790,0.6790,0.6790,3.7563,5.5076,3.8042,100000,13501,99,31,44,0.849,5.081
relegator,	0.2,1.4,0.001,1000,32.0824,447,0.4997,0.5001,0.4995,1.9351,1.8963,1.8972,100000,13350,99,0,10,0.854,3.162
relegator,	0.2,1.4,0.001,1000,30.3888,422,0.3688,0.3690,0.3687,1.7548,1.7718,1.8319,100000,13351,100,0,18,0.862,4.243
relegator,	0.2,1.4,0.001,1000,39.8617,556,0.6921,0.6923,0.6920,1.7329,1.6899,1.8064,100000,13412,99,0,16,0.852,4.000
relegator_factor,	0.2,1.4,0.001,1000,33.1201,465,0.6754,0.6752,0.6754,1.7570,2.2416,1.8404,100000,13532,97,640,71,0.831,2.663
relegator_factor,	0.2,1.4,0.001,1000,32.5394,456,0.7808,0.7807,0.7808,1.7071,2.1165,1.9317,100000,13412,100,883,84,0.860,2.701
relegator_factor,	0.2,1.4,0.001,1000,27.9539,387,0.7427,0.7426,0.7428,2.0715,2.5044,2.0862,100000,13563,97,1109,75,0.830,2.180
relegator_factor,	0.2,1.4,0.001,1000,38.0752,530,0.7046,0.7045,0.7047,1.5518,2.0738,1.6759,100000,13311,100,471,76,0.864,3.250
relegator_factor,	0.2,1.4,0.001,1000,33.7456,470,0.7575,0.7574,0.7576,1.8236,2.3140,2.0213,100000,13357,99,931,83,0.853,2.607
relegator_factor,	0.2,1.4,0.001,1000,46.4211,652,0.7541,0.7541,0.7541,1.1293,1.6697,1.1317,100000,13462,98,101,56,0.842,4.469
relegator_factor,	0.2,1.4,0.001,1000,29.8911,420,0.7686,0.7685,0.7686,1.7369,2.1818,1.6538,100000,13322,97,735,80,0.837,2.802
relegator_factor,	0.2,1.4,0.001,1000,31.3114,440,0.7513,0.7512,0.7513,1.9132,2.3828,1.9853,100000,13499,97,862,74,0.832,2.419
relegator_factor,	0.2,1.4,0.001,1000,40.3128,563,0.6447,0.6447,0.6447,1.2131,2.0383,1.3140,100000,13273,98,73,51,0.848,4.580
relegator_factor,	0.2,1.4,0.001,1000,45.7332,642,0.7654,0.7654,0.7654,1.0212,1.6990,0.9591,100000,13250,98,96,58,0.848,4.674
